62309060476	62309060477	62309060478	62309060479	62309060481	62309060482	
1700069358.3946834	+6.66,+9.5,+21.3,CB	+6.68,+12.9,+21.4,LA	+2.92,+230.5,+21.4,CB	+2.71,+242.7,+19.8,NB	+2.36,+263.1,+20.5,OB	+2.86,+234.0,+19.7,OB	
1700069420.4058893	+6.66,+9.5,+21.3,CB	+6.68,+12.9,+21.4,LA	+2.92,+230.5,+21.4,CB	+2.71,+242.6,+19.8,OB	+2.36,+263.5,+20.5,KB	+2.86,+233.9,+19.8,NB	
1700069482.4155853	+6.66,+9.5,+21.3,CB	+6.68,+12.9,+21.4,LA	+2.92,+230.5,+21.4,CB	+2.71,+242.6,+19.8,OB	+2.36,+263.3,+20.5,MB	+2.86,+234.0,+19.8,@B	
1700069544.4265368	+6.66,+9.4,+21.3,BB	+6.68,+12.9,+21.4,LA	+2.92,+230.5,+21.4,CB	+2.71,+242.6,+19.8,OB	+2.37,+262.8,+20.5,FB	+2.86,+233.9,+19.7,AB	
1700069606.4348977	+6.66,+9.3,+21.3,EB	+6.68,+12.8,+21.4,MA	+2.92,+230.6,+21.4,@B	+2.71,+242.6,+19.8,OB	+2.39,+261.9,+20.6,IB	+2.86,+234.0,+19.8,@B	
1700069668.4421625	+6.66,+9.3,+21.3,EB	+6.68,+12.9,+21.4,LA	+2.92,+230.5,+21.4,CB	+2.71,+242.6,+19.8,OB	+2.40,+261.2,+20.5,OB	+2.86,+233.9,+19.7,AB	
1700069730.4510276	+6.66,+9.3,+21.3,EB	+6.68,+12.9,+21.4,LA	+2.92,+230.5,+21.4,CB	+2.71,+242.7,+19.8,NB	+2.39,+261.3,+20.5,@B	+2.86,+234.0,+19.7,OB	
1700069792.4599833	+6.66,+9.2,+21.3,DB	+6.68,+12.8,+21.3,JA	+2.92,+230.5,+21.4,CB	+2.71,+242.8,+19.8,AB	+2.39,+261.4,+20.5,GB	+2.86,+234.0,+19.8,@B	
1700069854.4711192	+6.66,+9.2,+21.3,DB	+6.68,+12.8,+21.4,MA	+2.92,+230.5,+21.4,CB	+2.71,+242.8,+19.8,AB	+2.39,+261.8,+20.6,HB	+2.86,+234.1,+19.8,AB	
1700069916.4809666	+6.66,+9.2,+21.3,DB	+6.68,+12.8,+21.4,MA	+2.92,+230.6,+21.4,@B	+2.71,+242.9,+19.8,@B	+2.38,+261.9,+20.5,KB	+2.86,+234.0,+19.8,@B	
1700069978.4868348	+6.66,+9.2,+21.3,DB	+6.68,+12.9,+21.4,LA	+2.92,+230.5,+21.4,CB	+2.71,+242.8,+19.8,AB	+2.38,+262.0,+20.5,AB	+2.86,+234.0,+19.8,@B	
