62309060476	62309060477	62309060478	62309060479	62309060481	62309060482	
1701239607.8917208	0.000	43.309	2.277	0.000	90.101	1.237	
1701243449.952076	0.000	42.808	2.243	0.000	89.050	1.177	
1701247292.0278497	0.000	43.336	2.248	0.000	88.205	1.139	
1701251134.1180425	0.000	44.252	2.267	0.000	87.492	1.125	
1701254976.2203865	0.000	43.026	2.273	0.000	86.870	1.095	
1701258818.2763894	0.000	42.215	2.220	0.000	86.527	0.000	
1701262660.3635936	0.000	41.596	2.190	0.000	86.802	0.000	
1701266502.4259744	0.000	41.589	2.174	0.000	87.405	0.000	
1701270344.4988732	0.000	39.346	2.142	0.000	88.248	0.000	
1701274186.5511966	0.000	37.034	2.114	0.000	89.116	0.000	
1701278028.6307657	0.000	34.649	2.070	0.000	89.684	0.000	
