62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1700933334.956598	+2.48,+262.9,+20.3,IB	+2.47,+263.4,+20.7,NB	+6.55,+26.1,+20.7,OA	+2.32,+276.6,+25.6,NB	+2.17,+285.6,+25.2,AB	+2.23,+281.7,+25.3,BB	
1700933396.9642465	+2.48,+262.8,+20.3,HB	+2.47,+263.4,+20.7,NB	+6.55,+26.2,+20.7,LA	+2.34,+275.6,+25.6,KB	+2.16,+285.7,+25.2,AB	+2.23,+281.8,+25.4,JB	
1700933458.972427	+2.48,+262.8,+20.2,IB	+2.47,+263.4,+20.7,NB	+6.55,+26.1,+20.7,OA	+2.33,+276.5,+25.6,LB	+2.17,+285.6,+25.2,AB	+2.23,+281.9,+25.3,LB	
1700933520.9817395	+2.48,+262.8,+20.2,IB	+2.47,+263.4,+20.7,NB	+6.55,+26.1,+20.7,OA	+2.32,+276.6,+25.6,NB	+2.16,+286.0,+25.2,EB	+2.24,+281.1,+25.3,CB	
1700933582.991881	+2.48,+262.8,+20.2,IB	+2.47,+263.4,+20.7,NB	+6.55,+26.2,+20.7,LA	+2.33,+276.5,+25.5,OB	+2.15,+286.5,+25.2,CB	+2.25,+280.6,+25.3,DB	
1700933645.0017853	+2.48,+262.8,+20.3,HB	+2.47,+263.4,+20.7,NB	+6.55,+26.1,+20.7,OA	+2.33,+276.4,+25.6,MB	+2.15,+286.5,+25.2,CB	+2.26,+280.1,+25.3,@B	
1700933707.0116215	+2.48,+262.8,+20.3,HB	+2.47,+263.4,+20.7,NB	+6.55,+26.1,+20.7,OA	+2.33,+276.2,+25.5,HB	+2.16,+285.7,+25.2,AB	+2.23,+281.8,+25.3,MB	
1700933769.0213163	+2.48,+262.8,+20.3,HB	+2.47,+263.4,+20.7,NB	+6.55,+26.2,+20.7,LA	+2.34,+275.5,+25.6,HB	+2.16,+285.9,+25.2,OB	+2.24,+281.5,+25.3,GB	
1700933831.0321596	+2.48,+262.8,+20.3,HB	+2.47,+263.4,+20.7,NB	+6.55,+26.2,+20.7,LA	+2.34,+275.7,+25.6,JB	+2.15,+286.3,+25.2,EB	+2.25,+280.7,+25.4,BB	
1700933893.0402284	+2.48,+262.8,+20.3,HB	+2.47,+263.4,+20.7,NB	+6.55,+26.1,+20.7,OA	+2.32,+276.6,+25.6,NB	+2.15,+286.2,+25.2,DB	+2.24,+281.4,+25.3,FB	
1700933955.0485303	+2.48,+262.9,+20.3,IB	+2.47,+263.4,+20.7,NB	+6.55,+26.2,+20.7,LA	+2.32,+276.9,+25.5,BB	+2.15,+286.2,+25.2,DB	+2.24,+281.2,+25.4,GB	
1700934017.0581238	+2.48,+262.8,+20.3,HB	+2.47,+263.4,+20.7,NB	+6.55,+26.1,+20.7,OA	+2.33,+276.3,+25.5,IB	+2.16,+285.7,+25.2,AB	+2.23,+282.0,+25.4,AB	
1700934079.0680134	+2.47,+262.9,+20.3,FB	+2.47,+263.3,+20.7,IB	+6.55,+26.1,+20.7,OA	+2.33,+275.9,+25.6,CB	+2.17,+285.5,+25.2,BB	+2.23,+282.0,+25.3,FB	
1700934141.0769856	+2.48,+262.8,+20.3,HB	+2.47,+263.4,+20.7,NB	+6.55,+26.1,+20.7,OA	+2.32,+276.8,+25.5,CB	+2.15,+286.4,+25.2,BB	+2.25,+280.5,+25.3,GB	
1700934203.0839102	+2.48,+262.8,+20.3,HB	+2.47,+263.4,+20.7,NB	+6.55,+26.1,+20.7,OA	+2.32,+276.7,+25.6,OB	+2.16,+286.1,+25.2,DB	+2.23,+281.7,+25.3,BB	
