62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1701842692.6736982	0.000	182.490	27.570	64.917	98.363	95.688	
1701846534.771143	0.000	180.663	28.483	64.329	97.368	94.580	
1701850376.833419	0.000	178.901	28.336	63.624	96.373	93.684	
1701854218.906254	0.000	177.949	29.438	63.358	95.839	93.295	
1701858061.0345378	0.000	177.231	29.923	63.128	95.455	92.952	
1701861903.1226213	0.000	176.606	30.085	62.961	95.125	92.662	
1701865745.2047281	0.000	177.090	30.598	63.144	95.311	93.018	
1701869587.257051	0.000	178.422	31.419	63.555	95.968	93.759	
1701873429.3400505	0.000	180.537	31.623	64.540	97.095	94.865	
1701877271.3947237	0.000	183.064	31.037	65.498	98.415	96.364	
1701881113.415512	0.000	158.690	31.552	58.371	86.956	85.937	
